紅鬱金,べにうこん,#CB8347,203,131,71,0
豆殻茶,まめがらちゃ,#A78465,167,132,101,0
枇杷茶,びわちゃ,#AE7C4F,174,124,79,0
丁字染,ちょうじぞめ,#AD7D4C,173,125,76,0
芝翫茶,しかんちゃ,#AD7E4E,173,126,78,0
梅茶,うめちゃ,#9B7853,155,120,83,0
狐色,きつねいろ,#C38743,195,135,67,0
桑色白茶,くわいろしらちゃ,#B39469,179,148,105,0
朽葉色,くちばいろ,#917347,145,115,71,0
黄橡,きつるばみ,#B68D4C,182,141,76,0
黄唐茶,きがらちゃ,#B98C46,185,140,70,0
黄土色,おうどいろ,#C39143,195,145,67,0
薩摩鼠,さつまねず,#9E875E,158,135,94,0
榛色,はしばみいろ,#BFA46F,191,164,111,0
比佐宜染・久木染,ひさぎぞめ,#CFA85C,207,168,92,0
ないき煤竹,ないきすすだけ,#A28D5A,162,141,90,0
桑染,くわそめ,#B79B5B,183,155,91,0
丹色,にいろ,#E45E32,228,94,50,0
柿色,かきいろ,#ED6D3D,237,109,61,0
猩々茶,しょうじょうちゃ,#C04D21,192,77,33,0
紅朽葉,べにくちば,#C9582C,201,88,44,0
赭,しゃ,#D25E2C,210,94,44,0
赭黄・柘黄,しゃおう,#D1561B,209,86,27,0
樺桜,かばざくら,#F56A29,245,106,41,0
蜜柑茶,みかんちゃ,#CF6A38,207,106,56,0
黄櫨,こうろ,#D66A35,214,106,53,0
代赭,たいしゃ,#BB5520,187,85,32,0
赤朽葉,あかくちば,#DB8449,219,132,73,0
黄茶,きちゃ,#E17B34,225,123,52,0
茜柿,されがき,#CF752C,207,117,44,0
琥珀色,こはくいろ,#BF783A,191,120,58,0
鼈甲色,べっこういろ,#DE9A41,222,154,65,0
蘭茶,らんちゃ,#D9912D,217,145,45,0
不言色,いわぬいろ,#FFB02A,255,176,42,0
黄朽葉,きくちば,#D3A243,211,162,67,0
山吹茶,やまぶきちゃ,#C89932,200,153,50,0
櫨染,はじぞめ,#D9A62E,217,166,46,0
赤橙,あかだいだい,#EA5506,234,85,6,0
朱色,しゅいろ,#EB6101,235,97,1,0
人参色,にんじんいろ,#EC6800,236,104,0,0
橙色,だいだいいろ,#EE7800,238,120,0,0
忘れ草,わすれぐさ,#F08300,240,131,0,0
卵黄色,らんおういろ,#F69E22,246,158,34,0
金茶,きんちゃ,#F39800,243,152,0,0
山吹色,やまぶきいろ,#F8B500,248,181,0,0
黄丹,おうに,#EE7948,238,121,72,0
淡朽葉,うすくちば,#FF9740,255,151,64,0
大和柿,やまとがき,#FE9C41,254,156,65,0
柑子色,こうじいろ,#F6AD49,246,173,73,0
深黄,こきき,#FFB333,255,179,51,0
支子色,くちなしいろ,#FBCA4D,251,202,77,0
遠州茶,えんしゅうちゃ,#CA8269,202,130,105,0
肉桂色,にっけいろ,#DD7A56,221,122,86,0
?,そひ,#E0815E,224,129,94,0
深支子,こきくちなし,#EB9B6F,235,155,111,0
小麦色,こむぎいろ,#E49E61,228,158,97,0
伽羅色,きゃらいろ,#D8A373,216,163,115,0
杏色,あんずいろ,#F7B977,247,185,119,0
萱草色,かんぞういろ,#F8B862,248,184,98,0
鶏冠石,けいかんせき,#FFC06A,255,192,106,0
飴色,あめいろ,#DEB068,222,176,104,0
玉蜀黍色,とうもろこしいろ,#EEC362,238,195,98,0
金密陀,きんみつだ,#FBD26B,251,210,107,0
卵色,たまごいろ,#FCD575,252,213,117,0
密陀僧,みつだそう,#F1CB66,241,203,102,0
宍色,ししいろ,#EFAB93,239,171,147,0
一斤染,いっこんぞめ,#F5B199,245,177,153,0
近衛柿,このえがき,#FFAC8C,255,172,140,0
赤香,あかこう,#F6B894,246,184,148,0
人色,ひといろ,#F1BF99,241,191,153,0
洒落柿,しゃれがき,#F7BD8F,247,189,143,0
雄黄,ゆうおう,#F9C89B,249,200,155,0
薄香,うすこう,#F0CFA0,240,207,160,0
香色,こういろ,#EFCD9A,239,205,154,0
蜂蜜色,はちみついろ,#FDDEA5,253,222,165,0
洗柿,あらいがき,#F2C9AC,242,201,172,0
洒落柿,しゃれがき,#ECD4C2,236,212,194,0
肌色,はだいろ,#FCE2C4,252,226,196,0
薄卵色,うすたまごいろ,#FDE8D0,253,232,208,0
亜麻色,あまいろ,#D6C6AF,214,198,175,0
浅黄,うすき,#EDD3A1,237,211,161,0
掻練・皆練,かいねり,#FFEECE,255,238,206,0
砥粉色,とのこいろ,#F4DDA5,244,221,165,0
鳥の子色,とりのこいろ,#FFF1CF,255,241,207,0
砂色,すないろ,#DCD3B2,220,211,178,0
蒸栗色,むしぐりいろ,#EBE1A9,235,225,169,0
女郎花,おみなえし,#F2F2B0,242,242,176,0
嫩黄色,どんこうしょく,#E8EAA8,232,234,168,0
若芽色,わかめいろ,#E0EBAF,224,235,175,0
淡黄,たんこう,#F8E58C,248,229,140,0
麦藁色,むぎわらいろ,#E5DB97,229,219,151,0
若菜色,わかないろ,#D8E698,216,230,152,0
黄水仙,きずいせん,#F2D675,242,214,117,0
刈安色,かりやすいろ,#F5E56B,245,229,107,0
硫黄色,いおういろ,#F1E266,241,226,102,0
黄檗色,きはだいろ,#FEF263,254,242,99,0
承和色,そがいろ,#F3F47F,243,244,127,0
若苗色,わかなえいろ,#C7DC68,199,220,104,0
黄支子,きくちなし,#FFDB4F,255,219,79,0
菜の花色,なのはないろ,#FFEC47,255,236,71,0
向日葵色,ひまわりいろ,#FCC800,252,200,0,0
蒲公英色,たんぽぽいろ,#FFD900,255,217,0,0
中黄,ちゅうき,#FFEA00,255,234,0,0
鬱金色,うこんいろ,#FABF14,250,191,20,0
藤黄,とうおう,#F7C114,247,193,20,0
黄金,こがね,#E6B422,230,180,34,0
金糸雀色,かなりあいろ,#EBD842,235,216,66,0
緑黄色,りょくおうしょく,#DCCB18,220,203,24,0
鶸色,ひわいろ,#D7CF3A,215,207,58,0
レモン色,れもんいろ,#F3F133,243,241,51,0
黄緑,きみどり,#B8D200,184,210,0,0
若草色,わかくさいろ,#C3D825,195,216,37,0
茅色・萱色,かやいろ,#A0873C,160,135,60,0
利休茶,りきゅうちゃ,#A59564,165,149,100,0
芥子色・辛子色,からしいろ,#D0AF4C,208,175,76,0
油色,あぶらいろ,#A19361,161,147,97,0
菜種油色,なたねゆいろ,#A69425,166,148,37,0
玉子鼠・卵鼠,たまごねず,#BCAD48,188,173,72,0
根岸色,ねぎしいろ,#938B4B,147,139,75,0
青朽葉,あおくちば,#ADA250,173,162,80,0
藁色,わらいろ,#D5C752,213,199,82,0
藍玉子,あいたまご,#B1A733,177,167,51,0
抹茶色,まっちゃいろ,#C5C56A,197,197,106,0
柳葉色,やなぎは-ば-いろ,#A7B446,167,180,70,0
青丹・青土,あおに,#99AB4E,153,171,78,0
草色,くさいろ,#7B8D42,123,141,66,0
山吹鼠,やまぶきねず,#B19A00,177,154,0,0
女郎花,おみなえし,#C2BF00,194,191,0,0
鶯茶,うぐいすちゃ,#715C1F,113,92,31,0
璃寛茶,りかんちゃ,#6A5D21,106,93,33,0
梅幸茶,ばいこうちゃ,#887938,136,121,56,0
鶯色,うぐいすいろ,#928C36,146,140,54,0
国防色,こくぼうしょく,#7B6C3E,123,108,62,0
丁子鼠,ちょうじねず,#746D4E,116,109,78,0
橄欖色,かんらんしょく,#72672E,114,103,46,0
煤竹茶,すすたけちゃ,#665D22,102,93,34,0
海松色,みるいろ,#726D40,114,109,64,0
利休色・利久色,りきゅういろ,#8F8667,143,134,103,0
海松藍,みるあい,#918754,145,135,84,0
鶸茶,ひわちゃ,#8C8861,140,136,97,0
?色,ろういろ,#9B9969,155,153,105,0
柳茶,やなぎちゃ,#A1A46D,161,164,109,0
老緑,おいみどり,#787A59,120,122,89,0
木蘭色,もくらんじき,#C7B370,199,179,112,0
枯草色,かれくさいろ,#E4DC8A,228,220,138,0
苗色,なえいろ,#B0CA71,176,202,113,0
若葉色,わかばいろ,#B9D08B,185,208,139,0
柳色,やなぎいろ,#A8C97F,168,201,127,0
山葵色,わさびいろ,#A8BF93,168,191,147,0
淡萌黄・薄萌葱・薄萌葱,うすもえぎ,#93CA76,147,202,118,0
柳染,やなぎぞめ,#93B881,147,184,129,0
裏葉色,うらはいろ・うらばいろ,#94B090,148,176,144,0
若緑,わかみどり,#98D98E,152,217,142,0
花萌葱,はなもえぎ,#88CB7F,136,203,127,0
麹塵,きくじん,#6E7955,110,121,85,0
陰萌葱・陰萌黄,かげもえぎ,#748450,116,132,80,0
加茂川鼠,かもがわねず,#919F74,145,159,116,0
松葉色,まつばいろ,#839B5C,131,155,92,0
草柳,くさやなぎ,#6E8252,110,130,82,0
老竹,おいたけ,#769164,118,145,100,0
灰緑,はいみどり,#81A96E,129,169,110,0
青柳鼠,あおやぎねず,#6F8566,111,133,102,0
青苔,あおごけ,#596A40,89,106,64,0
古茶,ふるちゃ,#43552A,67,85,42,0
笹色,ささいろ,#396122,57,97,34,0
苔色,こけいろ,#69821B,105,130,27,0
緑茶色,りょくちゃいろ,#26610F,38,97,15,0
洋緑色,ようりょくしょく,#48922F,72,146,47,0
濡葉色,ぬればいろ,#2E7E16,46,126,22,0
早苗色,さなえいろ,#67A70C,103,167,12,0
萌黄,もえぎ,#AACF53,170,207,83,0
鶸萌黄,ひわもえぎ,#82AE46,130,174,70,0
藍砥茶,あいとのちゃ,#5F984D,95,152,77,0
新緑色,しんりょくしょく,#339933,51,153,51,0
薄緑・淡緑,うすみどり,#69B076,105,176,118,0
夏虫色,なつむしいろ,#CEE4AE,206,228,174,0
裏葉柳,うらはやなぎ,#C1D8AC,193,216,172,0
薄萌葱,うすもえぎ,#BADCAD,186,220,173,0
岩緑青,いわろくしょう,#50A06E,80,160,110,0
緑・碧・翠,みどり,#3EB370,62,179,112,0
若竹色,わかたけいろ,#68BE8D,104,190,141,0
翡翠色,ひすいいろ,#38B48B,56,180,139,0
花緑青,はなろくしょう,#00A381,0,163,129,0
青緑,あおみどり,#00A497,0,164,151,0
深緑,ふかみどり,#00552E,0,85,46,0
柚葉色,ゆずはいろ,#083A28,8,58,40,0
碧緑,へきりょく,#02533B,2,83,59,0
翠色,すいしょく,#013224,1,50,36,0
鉄色,てついろ,#005243,0,82,67,0
唐金色,からかねいろ,#32875C,50,135,92,0
常盤色・常磐色,ときわいろ,#007B43,0,123,67,0
常磐緑,ときわみどり,#028760,2,135,96,0
萌葱色,もえぎいろ,#006E54,0,110,84,0
鴨の羽色,かものはいろ,#006956,0,105,86,0
孔雀緑,くじゃくみどり,#00786C,0,120,108,0
千歳緑,せんざいみどり・ちとせみどり,#316745,49,103,69,0
木賊色,とくさいろ,#3B7960,59,121,96,0
天鵞絨,びろうど,#2F5D50,47,93,80,0
山藍摺,やまあいずり,#38635D,56,99,93,0
海緑色,かいりょくしょく,#206865,32,104,101,0
緑青色,ろくしょういろ,#47885E,71,136,94,0
水浅葱,みずあさぎ,#80ABA9,128,171,169,0
錆浅葱,さびあさぎ,#5C9291,92,146,145,0
薄青,うすあお,#93B69C,147,182,156,0
青銅色,せいどういろ,#7BC496,123,196,150,0
青磁色,せいじいろ,#7EBEA5,126,190,165,0
千草色・千種色,ちぐさいろ,#92B5A9,146,181,169,0
青竹色,あおたけいろ,#7EBEAB,126,190,171,0
淡水色・薄水色,うすみずいろ,#9ED1D3,158,209,211,0
白群,びゃくぐん,#83CCD2,131,204,210,0
水縹,みずはなだ,#72C1C8,114,193,200,0
浅縹,あさはなだ,#84B9CB,132,185,203,0
勿忘草,わすれなぐさ,#89C3EB,137,195,235,0
水色鼠,みずいろねず,#98AEC1,152,174,193,0
青碧,せいへき,#478384,71,131,132,0
京鼠,きょうねず,#789295,120,146,149,0
湊鼠,みなとねずみ,#80989B,128,152,155,0
錆御納戸,さびおなんど,#53727D,83,114,125,0
藍鼠,あいねず,#6C848D,108,132,141,0
舛花色,ますはないろ,#5B7E91,91,126,145,0
灰青,はいあお,#83959F,131,149,159,0
御召茶,おめしちゃ,#43676B,67,103,107,0
高麗納戸,こうらいなんど,#2C4F54,44,79,84,0
碧色,へきしょく,#184458,24,68,88,0
熨斗目花色,のしめはないろ,#426579,66,101,121,0
御召御納戸,おめしおなんど,#4C6473,76,100,115,0
紺滅,こんけし,#44617B,68,97,123,0
熨斗目色,のしめいろ,#175B66,23,91,102,0
孔雀青,くじゃくあお,#00708E,0,112,142,0
藍色,あいいろ,#165E83,22,94,131,0
紺鉄,こんてつ,#034358,3,67,88,0
浅葱色,あさぎいろ,#00A3AF,0,163,175,0
納戸色・御納戸,なんどいろ・おなんど,#008899,0,136,153,0
薄群青,うすぐんじょう,#0094C8,0,148,200,0
紺碧,こんぺき,#007BBB,0,123,187,0
金春色,こんばるいろ,#28A3AF,40,163,175,0
